編號,功能,測項名稱,描述,Result,是否可跑
110,IpConfig,StaticIpGatewayTest.py,Test Static IP Gateway is work,Fail,✓ 可跑
111,IpConfig,StaticIpSettingTest.py,Test Static IP is work and export/import/warm start,Pass,✓ 可跑
112,IpConfig,StaticIpSubnetMaskTest.py,Test Static IP mask is work,Pass,✓ 可跑
113,IpConfig,DhcpClientOptionOnCrModeTest.py,Wan can use DHCP to get ip,Pass,✓ 可跑
114,IpConfig,DhcpClientRouterWanTest.py,To test Wan DHCP packet option,Pass,✓ 可跑
115,NAT,Nat1To1EnableTest,To verify that 1-to-1 NAT entries could be enabled and disabled in configure mode,Pass,✓ 可跑
116,NAT,NatDefaultConfigTest,To verify the default configuration of NAT in CLI,Pass,✓ 可跑
117,NAT,Nat1To1NameDescriptionTest,To verify that NAT entries are configured with Name and description in CLI,Pass,✓ 可跑
118,NAT,Nat1To1EndCommandTest,To verify that abort and end command in each configure layer,Pass,✓ 可跑
119,NAT,Nat1To1SettingTest,To verify NAT entries are configured as 1-to-1 mode in CLI,Pass,✓ 可跑
120,NAT,Nat1To1ChangePriorityTest,To verify that DUT allows to change newly created NAT entry priority value,Pass,✓ 可跑
121,NAT,NatMaxEntriesTest,To verify that DUT allows to create max 32 entries & throws valid error message in CLI if it exceeds,Pass,✓ 可跑
122,NAT,Nat1To1SettingFailTest,To verify that DUT throws error message for 1-to-1 NAT settings configured without parameters,Pass,✓ 可跑
123,NAT,Nat1To1RangeIpTest,To verify DUT allows to configure 1-to-1 NAT with Range of original dst-ip & Range of translated dst-ip,Pass,✓ 可跑
124,NAT,Nat1To1DisplayTest,To verify the show command for specific NAT entry in config mode,Pass,✓ 可跑
125,NAT,Nat1To1ResetTest,To verify that no ip nat resets all and specific nat entry,Pass,✓ 可跑
126,NAT,NatGlobalEnableTest,To verify the global configuration of NAT for enable/disable,Pass,✓ 可跑
127,NAT,NatNTo1EnableTest,To verify the NAT table configuration of N-1 NAT entry for enable/disable,Pass,✓ 可跑
128,NAT,NatNTo1NameDescriptionTest,To verify that NAT entries are configured with Name and description N-to-1 mode,Pass,✓ 可跑
129,NAT,NatNTo1SettingFailTest,To verify the configuration of priority of new entry as 32 fails,Pass,✓ 可跑
130,NAT,NatNTo1ResetTest,To verify the reset of specific entry in NAT table in N-to-1 mode,Pass,✓ 可跑
131,NAT,NatNTo1TranslateTest,To verify the N-1 NAT translation of source IP on LAN to WAN,Fail,✓ 可跑
132,NAT,NatPatSettingTest,To verify default configuration of Port Forwarding,Fail,✓ 可跑
133,NAT,NatPatEnableTest,To verify the configuration of new NAT entry is of mode PAT and enabled,Pass,✓ 可跑
134,NAT,NatPatSettingFailTest,To verify that DUT throws error message for pat NAT settings configured without parameters,Pass,✓ 可跑
135,NAT,NatPatNameDescriptionTest,To verify that NAT entries are configured with Name and description Port forwarding mode,Pass,✓ 可跑
136,NAT,NatPatTranslateTest,To verify the configuration of PAT entry with Protocol as tcp-udp and WAN Port having unique values,Pass,✓ 可跑
137,NAT,NatPatResetTest,To verify the deletion of all PAT entries,Pass,✓ 可跑
138,NAT,NatChangeModeTest,To verify the modification of existing NAT entry from 1-to-1 to PAT,Pass,✓ 可跑
139,NAT,NatPatMultiTest,To verify the creation of multiple PAT entries with protocol as tcp-udp tcp or udp,Pass,✓ 可跑
140,NAT,NatPatStaticRouteTest,To verify the Port Forwarding along with static routes,Pass,✓ 可跑
141,NAT,NatThroughputTest,To verify the udp throughput is 200Mbps upon when enable each NAT mode,Pass,✓ 可跑
142,NAT,NatReloadExportImportTest,To verify that DUT can update NAT configuration settings after reload export/import and start up,Pass,✓ 可跑
143,RssiReport,RssiReportEnable,To verify enable Rssi Report can work,Pass,✓ 可跑
144,RssiReport,RssiReportInterval,To verify Rssi report interval range,Fail,✓ 可跑
145,EventLog,ClearEventLogTest,To verify clear event log message,Fail,✓ 可跑
146,EventLog,ClientLeftJoinTest,To verify Client left and Client join event log message,Pass,✓ 可跑
147,EventLog,ColdStartTest,To verify after cold start event log message,Pass,✓ 可跑
148,EventLog,ConfigChange5MailReceipterTest,To verify 5 receipter can receive mail message,Pass,✓ 可跑
149,EventLog,ConfigChangeMailSslTlsTest,To verify mail server setting ssl tls,Pass,✓ 可跑
150,EventLog,ConfigChangeMailTlsTest,To verify mail server setting tls,Pass,✓ 可跑
151,EventLog,ConfigChangeTest,To verify ConfigChange event log message,Fail,✓ 可跑
152,EventLog,ExportEventLogBySftp,To verify Export Event Log By Sftp,Pass,✓ 可跑
153,EventLog,ExportEventLogByTftp,To verify Export Event Log By Tftp,Pass,✓ 可跑
154,EventLog,ExportEventLogFail,To verify Export Event Log Fail log message,Pass,✓ 可跑
155,EventLog,ExportImportTest,To verify Export and Import log message,Fail,✓ 可跑
156,EventLog,FirmupgradeFailTest,To verify FirmupgradeFail log message,Pass,✓ 可跑
157,EventLog,FirmuploadFailTest,To verify FirmuploadFail log message,Pass,✓ 可跑
158,EventLog,IpConflictTest,To verify IpConflict log message,Pass,✓ 可跑
159,EventLog,LoginFailTest,To verify LoginFail log message,Pass,✓ 可跑
160,EventLog,LoginLogoutTest,To verify LoginLogout log message,Pass,✓ 可跑
161,EventLog,MultiVapLogTest,To verify MultiVapLog delete log message,Pass,✓ 可跑
162,EventLog,ResetDefaultTest,To verify ResetDefault log message,Pass,✓ 可跑
163,EventLog,ExceededThresholdTest,To verify ExceededThreshold log message,Pass,✓ 可跑
164,EventLog,OverwriteTest,To verify Overwrite behavior,Pass,✓ 可跑
165,EventLog,StopRecordingTest,To verify StopRecording behavior,Pass,✓ 可跑
166,EventLog,UnauthorizedAction,To verify UnauthorizedAction log message,Fail,✓ 可跑
167,EventLog,UnrecognizedUserTest,To verify UnrecognizedUser log message,Pass,✓ 可跑
168,EventLog,WarmStartTest,To verify WarmStart log message,Pass,✓ 可跑
169,EventLog,RevertedTest,To verify Reverted log message,Pass,✓ 可跑
170,DiagnosticSupport,DiagSupport.py,To test DiagSupport is work,Pass,✓ 可跑
171,DiagnosticSupport,DiagSupportIntervalTest.py,To test DataCollection interval is range from 1 to 180,Pass,✓ 可跑
172,Account,AccountMaxEntriesTest,To verify max account entry,Pass,✓ 可跑
173,Account,PrivilageGroup_AdvanceDiagnostic,To verify Role custom and Authority AdvanceDiagnostic,Pass,✓ 可跑
174,Account,PrivilageGroup_Auditor,To verify Role custom and Authority Auditor,Pass,✓ 可跑
175,Account,PrivilageGroup_DiagnosticTest,To verify Role custom and Authority DiagnosticTest,Pass,✓ 可跑
176,Account,PrivilageGroup_Network,To verify Role custom and Authority Network,Pass,✓ 可跑
177,Account,PrivilageGroup_StatusMonitorTest,To verify Role custom and Authority StatusMonitorTest,Pass,✓ 可跑
178,Account,PrivilageGroup_SystemBackup,To verify Role custom and Authority SystemBackup,Pass,✓ 可跑
179,Account,PrivilageGroup_SystemManagementTest,To verify Role custom and Authority SystemManagementTest,Fail,✓ 可跑
180,BasicFunction,UserAccountPrivilegeTest_admin,To verify Role admin,Pass,✓ 可跑
181,BasicFunction,UserAccountPrivilegeTest_custom,To verify Role custom,Pass,✓ 可跑
182,BasicFunction,UserAccountPrivilegeTest_engineer,To verify Role engineer,Pass,✓ 可跑
183,BasicFunction,UserAccountPrivilegeTest_user,To verify Role user,Pass,✓ 可跑
184,PasswordPolicy,PasswordComplexityStrengthCheck,To verify password rule symbol,Pass,✓ 可跑
185,PasswordPolicy,PasswordLengthTest,To verify password length,Pass,✓ 可跑
186,PasswordPolicy,PasswordLifeTimeTest,To verify password life time interval,Pass,✓ 可跑
187,PasswordPolicy,PasswordValidationRulesTest,To verify password rule lower upper numbers,Pass,✓ 可跑
188,LoginPolicy,LoginFailMessageLengthTest,To verify login fail message length,Pass,✓ 可跑
189,LoginPolicy,LoginLockoutDisableTest,To verify lockout disable behavior,Pass,✓ 可跑
190,LoginPolicy,LoginLockoutThreshouldTest,To verify lockout time and attemp Threshould,Pass,✓ 可跑
191,LoginPolicy,LoginMessageLengthTest,To verify login success message length,Pass,✓ 可跑
192,StaticRoute,StaticRouteBehaviorTest,To verify the IP traffic communication is sucessful based on the static entry created,Pass,✓ 可跑
193,StaticRoute,StaticRouteBehaviorWithNatTest,To verify the IP traffic communication is sucessful based on the static entry created with global Nat enabled,Pass,✓ 可跑
194,StaticRoute,StaticRouteDefaultStatusTest,To verify the default configuration of Static Route in CLI,Pass,✓ 可跑
195,StaticRoute,StaticRouteDeleteTest,To verify the deletion static route entries,Pass,✓ 可跑
196,StaticRoute,StaticRouteDisconnectApTest,To verify the configuration of Static Route in CLI without connection to AP,Pass,✓ 可跑
197,StaticRoute,StaticRouteEnableTest,To verify enable/disable of the newly created static route index 1,Fail,✓ 可跑
198,StaticRoute,StaticRouteErrorMsgTest,To verify the occurrence of the error,Pass,✓ 可跑
199,StaticRoute,StaticRouteMaxEntriesTest,To verify the functionality of static routing with maximum static route entries 32,Pass,✓ 可跑
200,StaticRoute,StaticRouteMetricLimitTest,To verify the configuration of static route is successfull for metric values having lower/upper limit in the range,Pass,✓ 可跑
201,StaticRoute,StaticRouteNameTest,To verify configuring the name for static route entry,Pass,✓ 可跑
202,StaticRoute,StaticRouteRemoveReentryTest,To verify the functionality of static routing after removal and re-entry of the static route entries,Pass,✓ 可跑
203,StaticRoute,StaticRouteSettingTest,To verify that 32 static route entries are editable,Pass,✓ 可跑
